tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_uT	specimen_n	specimen_int_ptrm_n	specimen_f	specimen_fvds	specimen_frac	specimen_gap_max	specimen_b_beta	specimen_dang	specimen_drats	specimen_int_mad	specimen_md
su100501d	200	560	40	-	1.01	52.2	14.00	8.00	0.91	0.80	0.81	0.16	0.03	1.89	7.40	3.37	-1.00
su100501d	200	580	40	-	1.01	49.2	15.00	8.00	0.97	0.84	0.83	0.15	0.04	1.59	6.62	3.16	-1.00
su100501e	0	515	40	-	1.00	60.8	14.00	7.00	0.86	0.83	0.87	0.18	0.02	2.47	12.73	3.59	-1.00
su100501e	0	530	40	-	1.00	61.0	15.00	7.00	0.95	0.92	0.96	0.16	0.01	1.78	11.51	3.19	-1.00
su100501e	0	545	40	-	1.00	60.9	16.00	8.00	0.98	0.95	0.98	0.16	0.01	1.33	10.45	2.94	-1.00
su100501e	0	560	40	-	1.00	60.8	17.00	8.00	0.99	0.96	0.99	0.15	0.01	1.06	10.34	2.74	-1.00
su100501e	0	580	40	-	1.00	59.7	18.00	8.00	1.03	0.99	1.00	0.15	0.01	0.93	9.60	2.58	-1.00
su100501e	100	515	40	-	1.00	60.7	13.00	7.00	0.84	0.81	0.85	0.18	0.02	2.38	12.73	3.72	-1.00
su100501e	100	530	40	-	1.00	60.9	14.00	7.00	0.93	0.90	0.94	0.16	0.01	1.69	11.51	3.28	-1.00
su100501e	100	545	40	-	1.00	60.8	15.00	8.00	0.96	0.93	0.96	0.16	0.01	1.25	10.45	2.99	-1.00
su100501e	100	560	40	-	1.00	60.8	16.00	8.00	0.97	0.94	0.97	0.16	0.01	0.99	10.34	2.78	-1.00
su100501e	100	580	40	-	1.00	59.6	17.00	8.00	1.01	0.97	0.98	0.16	0.02	0.86	9.60	2.61	-1.00
su100501e	150	515	40	-	1.00	60.3	12.00	7.00	0.82	0.79	0.81	0.19	0.02	1.97	12.73	3.57	-1.00
su100501e	150	530	40	-	1.00	60.6	13.00	7.00	0.91	0.88	0.90	0.17	0.02	1.38	11.51	3.07	-1.00
su100501e	150	545	40	-	1.00	60.6	14.00	8.00	0.94	0.91	0.93	0.17	0.01	0.99	10.45	2.78	-1.00
su100501e	150	560	40	-	1.00	60.6	15.00	8.00	0.95	0.92	0.94	0.16	0.01	0.77	10.34	2.57	-1.00
su100501e	150	580	40	-	1.00	59.4	16.00	8.00	0.99	0.95	0.94	0.16	0.02	0.67	9.60	2.41	-1.00
su100501e	200	530	40	-	1.00	60.8	12.00	7.00	0.87	0.84	0.87	0.18	0.02	1.17	11.51	3.01	-1.00
su100501e	200	545	40	-	1.00	60.7	13.00	8.00	0.90	0.87	0.89	0.17	0.01	0.82	10.45	2.70	-1.00
su100501e	200	560	40	-	1.00	60.7	14.00	8.00	0.91	0.88	0.90	0.17	0.01	0.61	10.34	2.48	-1.00
su100501e	200	580	40	-	1.00	59.4	15.00	8.00	0.95	0.91	0.91	0.17	0.02	0.53	9.60	2.32	-1.00
su100501e	250	530	40	-	1.00	60.6	11.00	7.00	0.83	0.80	0.81	0.19	0.02	0.59	11.51	2.29	-1.00
su100501e	250	545	40	-	1.00	60.5	12.00	8.00	0.86	0.82	0.83	0.18	0.02	0.36	10.45	2.03	-1.00
su100501e	250	560	40	-	1.00	60.5	13.00	8.00	0.87	0.84	0.84	0.18	0.01	0.22	10.34	1.85	-1.00
su100501e	250	580	40	-	1.00	59.1	14.00	8.00	0.90	0.86	0.85	0.18	0.02	0.20	9.60	1.73	-1.00
su100501f	0	545	40	-	1.13	139.4	16.00	8.00	0.92	0.96	0.95	0.12	0.03	3.57	3.10	4.91	-1.00
su100501f	0	560	40	-	1.12	134.8	17.00	8.00	0.97	0.99	0.98	0.12	0.03	2.93	2.88	4.68	-1.00
