tab	specimens																	
specimen	sample	experiments	dir_dec	dir_inc	dir_n_measurements	dir_tilt_correction	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	description	int_corr	citations	method_codes	specimen_direction_type
sv12k1	sv12k	sv12k1 : LP-DIR-AF	42.6	44.2	20	0	31.2				873	0.07	K	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv12k1	sv12k							Igneous	Lava Flow	Basalt						This study		
sv12k2	sv12k							Igneous	Lava Flow	Basalt						This study		
sv13i1	sv13i							Igneous	Lava Flow	Basalt						This study		
sv13i1	sv13i	sv13i1 : LP-DIR-AF	210.1	-21.8	2	0	0				373	0	K	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : LP-DIR-T : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv13i2	sv13i							Igneous	Lava Flow	Basalt						This study		
sv15a1	sv15a							Igneous	Lava Flow	Basalt						This study		
sv15a1	sv15a	sv15a1 : LP-DIR-AF	345.5	24.2	11	0	0.9				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv15b1	sv15b							Igneous	Lava Flow	Basalt						This study		
sv15b1	sv15b	sv15b1 : LP-DIR-AF	346.2	26.6	9	0	1.8				0.15	0.01	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv15c1	sv15c							Igneous	Lava Flow	Basalt						This study		
sv15c1	sv15c	sv15c1 : LP-DIR-AF	351.3	24.5	11	0	3				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv15c2	sv15c							Igneous	Lava Flow	Basalt						This study		
sv15d1	sv15d							Igneous	Lava Flow	Basalt						This study		
sv15d1	sv15d	sv15d1 : LP-DIR-AF	355.3	24.4	9	0	2.5				0.18	0.05	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv15f1	sv15f							Igneous	Lava Flow	Basalt						This study		
sv15f1	sv15f	sv15f1 : LP-DIR-AF	355.2	26.2	8	0	1.9				0.18	0.06	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv15h1	sv15h	sv15h1 : LP-DIR-AF	3.4	26.5	8	0	2.3				0.18	0.06	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv15h1	sv15h							Igneous	Lava Flow	Basalt						This study		
sv15h2	sv15h							Igneous	Lava Flow	Basalt						This study		
sv16a1	sv16a	sv16a1 : LP-DIR-AF	350.6	28.4	5	0	3.7				0.15	0.06	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv16a1	sv16a							Igneous	Lava Flow	Basalt						This study		
sv16b1	sv16b							Igneous	Lava Flow	Basalt						This study		
sv16b1	sv16b	sv16b1 : LP-DIR-AF	352.3	28.9	5	0	2.7				0.15	0.06	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv16c1	sv16c							Igneous	Lava Flow	Basalt						This study		
sv16c1	sv16c	sv16c1 : LP-DIR-AF	358.7	23.6	9	0	4.2				0.18	0.05	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv16c2	sv16c							Igneous	Lava Flow	Basalt						This study		
sv16e1	sv16e							Igneous	Lava Flow	Basalt						This study		
sv16e1	sv16e	sv16e1 : LP-DIR-AF	359.8	19.8	8	0	2.4				0.18	0.03	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFL : DA-DIR-GEO	l
sv16f2	sv16f							Igneous	Lava Flow	Basalt						This study		
sv16h1	sv16h							Igneous	Lava Flow	Basalt						This study		
sv16h1	sv16h	sv16h1 : LP-DIR-AF	48	-61.3	14	0	3.7				0.18	0	T	Recalculated from original measurements; supercedes published results.	u	This study	LP-DIR-AF : SO-SUN : DE-BFP : DA-DIR-GEO	p
sv16h2	sv16h							Igneous	Lava Flow	Basalt						This study		
