tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.6	30.1		g	-44.1	5.50e-06	8	1	1.66e-07	1.78e-07	5.60e-08	u	273	0	0	423.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	2.5	29.4		g	-43.8	5.67e-06	9	1	1.69e-07	1.75e-07	6.20e-08	u	273	0	0	473.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.9	26.9		g	-43.6	5.60e-06	10	1	5.74e-08	4.50e-08	5.20e-08	u	273	0	0	523.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.0	27.3		g	-42.7	4.96e-06	11	1	3.86e-08	6.12e-08	4.95e-08	u	273	0	0	573.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.3	30.3		g	-42.4	4.62e-06	12	1	3.97e-08	9.47e-08	2.20e-08	u	273	0	0	623.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.0	24.0		g	-42.3	4.54e-06	13	1	1.38e-07	1.89e-07	5.21e-08	u	273	0	0	673.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.2	25.3		g	-42.2	4.33e-06	14	1	2.71e-08	8.13e-08	3.99e-08	u	273	0	0	723.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	0.9	21.8		g	-42.2	4.02e-06	15	1	4.28e-08	2.60e-08	3.85e-08	u	273	0	0	773.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	1.6	25.6		g	-42.0	3.79e-06	16	1	6.81e-08	7.42e-08	3.31e-08	u	273	0	0	798.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.8	26.2		g	-42.4	2.96e-06	17	1	8.45e-08	1.79e-07	7.40e-09	u	273	0	0	823.0
This study	‘‘Mamainse	MP18-4	MP18	MP18-4	MP18-4:LP-DIR-T	shoemake	LT-T-Z:LP-DIR-T	pmagpy-3.4.0	3.1	25.0		g	-41.6	1.97e-06	18	1	5.46e-08	9.15e-08	1.07e-08	u	273	0	0	853.0
