tab 	specimens
analysts	aniso_s	aniso_s_n_measurements	aniso_s_sigma	aniso_s_unit	aniso_tilt_correction	aniso_type	citations	experiments	instrument_codes	location	method_codes	result_quality	sample	site	specimen	volume
	0.3341000080:0.3361999989:0.3296999931:0.0005000000:-0.0024000001:-0.0002000000	15	0.0001	SI	0	AMS	This study	318-U1356A-14R-1-W-103:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	318-U1356A-14R-1-W-103	
							This study			U1356A			318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	7.000e-06
	0.3486:0.3520:0.2994:0.0022:0.0065:-0.0115	15	0.0001	SI	-1	AMS	This study	318-U1356A-18R-2-W-128:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	
	0.3486000001:0.3519999981:0.2994000018:0.0022000000:0.0065000001:-0.0115000000	15	0.0001	SI	0	AMS	This study	318-U1356A-18R-2-W-128:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	
	0.3485:0.3520:0.2995:0.0023:0.0075:-0.0120	15	0.0001	SI	-1	AMS	This study	318-U1356A-18R-2-W-128:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	
	0.3485000134:0.3519999981:0.2994999886:0.0023000001:0.0074999998:-0.0120000001	15	0.0001	SI	0	AMS	This study	318-U1356A-18R-2-W-128:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	
	0.3486:0.3519:0.2996:0.0023:0.0069:-0.0117	15	0.0001	SI	-1	AMS	This study	318-U1356A-18R-2-W-128:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	
	0.3486000001:0.3519000113:0.2996000051:0.0023000001:0.0068999999:-0.0116999997	15	0.0001	SI	0	AMS	This study	318-U1356A-18R-2-W-128:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	
	0.3483:0.3519:0.2998:0.0024:0.0074:-0.0123	15	0.0004	SI	-1	AMS	This study	318-U1356A-18R-2-W-128:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	
	0.3483000100:0.3519000113:0.2998000085:0.0024000001:0.0074000000:-0.0122999996	15	0.0004	SI	0	AMS	This study	318-U1356A-18R-2-W-128:LP-AN-MS		U1356A	LP-X:AE-H:LP-AN-MS	g	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	318-U1356A-18R-2-W-128	
